,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
31,0.8553,Sun Nov 26 01:00:08 +0000 2017,0.657,0.0,0.343,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Celebrate with a classic holiday special tonight! Watch The Story of Santa Claus at 9/8c on CBS &amp; CBS All Access:… https://t.co/JKHhuGQz19,32
32,0.0772,Sat Nov 25 23:30:01 +0000 2017,0.788,0.1,0.112,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Tonight, watch two holiday specials w/ Robbie the Reindeer: Hooves of Fire starting @ 8/7c on CBS &amp; CBS All Access:… https://t.co/YT3norBieN",33
33,0.0,Sat Nov 25 21:59:01 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Only 3 more days until the Angels take flight in Shanghai! Watch the #VSFashionShow Tues, Nov. 28 @ 10/9c on CBS &amp;… https://t.co/OK12P30i8k",34
34,0.5848,Sat Nov 25 20:56:31 +0000 2017,0.746,0.0,0.254,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Come along as Victoria's Secret top execs share an exclusive inside look behind the 2017 #VSFashionShow! Tune in Tu… https://t.co/jae1jA5jXL,35
35,0.0,Sat Nov 25 15:00:07 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","In 4 days, let Bruno Mars light up your night with Bruno Mars: 24K Magic Live at the Apollo, Wednesday at 10/9c on… https://t.co/mQoZppXcDH",36
36,0.4471,Sat Nov 25 12:00:06 +0000 2017,0.821,0.0,0.179,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Don't miss Angel Lais Ribeiro hit the runway in the 2017 Champagne Nights Fantasy Bra! Watch the #VSFashionShow Tue… https://t.co/qK9ZGXQsWA,37
37,0.6369,Sat Nov 25 08:07:03 +0000 2017,0.792,0.0,0.208,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Relive all the incredible music memories from 'GRAMMYs® Greatest Stories: A 60th Anniversary Special'. Watch it now… https://t.co/t0LarCTxO1,38
38,0.7184,Sat Nov 25 01:00:03 +0000 2017,0.731,0.0,0.269,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Keep the holiday spirit alive and watch Frosty Returns tonight at 8:30/7:30c on CBS, or stream it on CBS All Access… https://t.co/GMq5MoTt0h",39
39,0.0,Sat Nov 25 00:43:31 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Watch these musical Christmas classics come to life when Frosty the Snowman and Frosty Returns air tonight, startin… https://t.co/OwKCQbBDxu",40
40,0.7804,Mon Nov 27 19:58:03 +0000 2017,0.725,0.0,0.275,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Make all your streams come true with a 1-month FREE trial of #CBSAll Access. Use promo code LETSGO by 12/4:… https://t.co/GDSVj6WO3j,41
