,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
22,0.6369,Mon Nov 27 19:20:13 +0000 2017,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Why Harry and Meghan will be the best royal couple | via @CNNopinion https://t.co/AmFhhY0tSv https://t.co/MJ7eBi4JCD,23
23,-0.0258,Mon Nov 27 19:09:04 +0000 2017,0.598,0.205,0.197,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Black Friday was huge for gun sales https://t.co/6Pd5h1unwi https://t.co/kVcDENUMJ6,24
24,-0.3612,Mon Nov 27 18:57:04 +0000 2017,0.524,0.304,0.173,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","US charges 3 Chinese nationals with hacking, stealing intellectual property from companies https://t.co/UF4pWiNalU https://t.co/Tq07txTyVD",25
25,0.128,Mon Nov 27 18:47:38 +0000 2017,0.93,0.0,0.07,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Breitbart editor cites Ringo Starr's hit cover of the song ""You're Sixteen"" in defense of Roy Moore who is accused… https://t.co/uToa9QXKm4",26
26,0.0,Mon Nov 27 18:35:58 +0000 2017,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @CNNPolitics: Sen. Al Franken says he ""cannot speculate"" over whether more women will come forward with allegations against him https://…",27
27,-0.5106,Mon Nov 27 18:35:16 +0000 2017,0.845,0.155,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Prince Harry thinks Princess Diana and Meghan Markle would have been ""thick as thieves, without question. I think s… https://t.co/jGT3UT2kiS",28
28,-0.3818,Mon Nov 27 18:32:48 +0000 2017,0.867,0.133,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sen. Al Franken on groping allegations: “This has been a shock and it’s been extremely humbling. I am embarrassed.… https://t.co/hvgoE4cI3L,29
29,-0.2263,Mon Nov 27 18:26:55 +0000 2017,0.863,0.086,0.051,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Al Franken: “I just want to again say, ‘I am sorry.’ I know there are no magic words that I can say to regain… https://t.co/MRWocH3AwX",30
30,-0.3182,Mon Nov 27 18:20:19 +0000 2017,0.887,0.113,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Sen. Al Franken is addressing reporters in the wake of accusations that he groped multiple women.

Live updates:… https://t.co/S5NcFj4IeP",31
31,-0.6597,Mon Nov 27 18:20:05 +0000 2017,0.62,0.281,0.099,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""Such an outrageous assault on truth"": Former CIA and National Security Agency Director Michael Hayden blasts Presi… https://t.co/ihPAlh88Ul",32
32,0.0,Mon Nov 27 18:12:32 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",JUST IN: Meghan Markle tells the story of how Prince Harry proposed https://t.co/T3WS8YzVoK https://t.co/Fgh0zLzTgX,33
33,-0.5423,Mon Nov 27 18:10:07 +0000 2017,0.774,0.226,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Nancy Pelosi's catastrophically bad answer on John Conyers | Analysis by @CillizzaCNN https://t.co/WSGP36x8md https://t.co/wjdMnkAr88,34
34,-0.0572,Mon Nov 27 18:00:14 +0000 2017,0.9,0.1,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A Maine police department doesn't want you telling officers these things https://t.co/iO8FT9HaTi https://t.co/D1HttKX4O7,35
