,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
21,0.0,Mon Nov 27 19:38:53 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",???? How Prince Harry popped the question to Meghan Markle. Via @BBCBreaking. #RoyalWedding https://t.co/PCNQRr5t0p,22
22,0.3612,Mon Nov 27 19:26:08 +0000 2017,0.894,0.0,0.106,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCCiN: With your £50.1 million, we can continue to fund people like Charlotte, a speech &amp; language therapist at @Elizabeth_found in Po…",23
23,0.7096,Mon Nov 27 19:24:55 +0000 2017,0.753,0.0,0.247,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCBreaking: ""It was just an amazing surprise"" - Meghan Markle on the moment Prince Harry proposed to her https://t.co/7pnNzobbc9 #roya…",24
24,0.5859,Mon Nov 27 19:24:45 +0000 2017,0.678,0.0,0.322,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCRadio3: Let's face it, #SacredRiver was amazing.
https://t.co/0tnIS5vSG2",25
25,0.0,Mon Nov 27 19:24:35 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCSport: Here come the contenders for BBC Sports Personality of the Year 2017...

Watch the #SPOTY announcement live here: https://t.c…",26
26,-0.3818,Mon Nov 27 19:00:03 +0000 2017,0.89,0.11,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",18 years in an abusive relationship left Rina with physical &amp; mental scars but now her tattoos tell a story of surv… https://t.co/HfNzMO5sFE,27
27,0.4588,Mon Nov 27 18:56:21 +0000 2017,0.864,0.0,0.136,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Prince Harry and Meghan Markle talk to the BBC following the announcement of their engagement. Tonight on @BBCOne a… https://t.co/24rVtRTNue,28
28,0.0,Mon Nov 27 18:33:04 +0000 2017,1.0,0.0,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","? RED HOT ?
The calendar turning British red-headed men into naked pin-ups. ? https://t.co/RoC5THStPr https://t.co/V0ruxLT5iq",29
29,0.4588,Mon Nov 27 18:02:03 +0000 2017,0.8,0.0,0.2,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",Harry and Meghan: A Royal Engagement. Tonight at 7:30pm on @BBCOne. ???? https://t.co/6NxH13X1c4 https://t.co/yDyOmtMHg4,30
30,0.5106,Mon Nov 27 17:33:04 +0000 2017,0.679,0.098,0.223,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",Would you know what to do in a medical emergency? ? ? ? Here are 7 simple first aid techniques that can help save l… https://t.co/VOhpQtodKg,31
